"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"489",489,"Garuda-1","Indonesia","Asia Cellular Satellite","Indonesia/Philippines/Thailand","Commercial","Communications","","GEO","",123.03,35774,35801,0.00032,1.22,"1436.16","4291","2500","14000",2000-02-12,"12","Lockheed Martin Missiles and Space","USA","Baikonur Cosmodrome","Proton","2000-011A",26089,63.30091,46.00573
"490",490,"GATOSS","NR","GomSpace ApS","Denmark","Commercial","Technology Development","","LEO","Sun-Synchronous",0,593,819,0.016,97.7,"98.9","5","","",2013-11-21,"","GomSpace/University of Aalborg","Denmark","Dombarovsky Air Base","Dnepr","2013-066Q",39430,10,56
"491",491,"GCOM-1","Japan","Japan Aerospace Exploration Agency (JAXA)","USA/Japan","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,701,704,0.000212,98.2,"98.8","1900","","4.05",2012-05-17,"5","Japan Aerospace Exploration Agency (JAXA)","Japan","Tanegashima Space Center","H-II2","2012-025A",38337,130.97353,30.40318
"492",492,"GEARRSAT-2","NR","NearSpace Launch/Air Force Research Laboratory","USA","Government","Technology Development","","LEO","Non-Polar Inclined",0,356,700,0.0249,55,"95","10","","",2015-05-20,"","NearSpace Launch/Air Force Research Laboratory","USA","Cape Canaveral","Atlas 5","2015-025G",40657,-80.53311,28.45861
"493",493,"Genesis-1","USA","Bigelow Aerospace","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,522,569,0.0034,64.5,"95.6","1360","","",2006-07-12,"5","Bigelow Aerospace","USA","Dombarovsky Air Base","Dnepr","2006-029A",29252,-57.65625,-14.60485
"494",494,"Genesis-2","USA","Bigelow Aerospace","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,508,586,0.00564,64.5,"95.6","1360","","",2007-06-28,"5","Bigelow Aerospace","USA","Dombarovsky Air Base","Dnepr","2007-028A",31789,-57.65625,-14.60485
"495",495,"GeoEye-1","USA","DigitalGlobal Corporation","USA","Commercial/Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,671,686,0.00106,98.1,"98.3","1955","","",2008-09-06,"7","General Dynamics","USA","Vandenberg AFB","Delta 2","2008-042A",33331,-120.53757,34.75046
"496",496,"Geomagnetic Tail Laboratory (Geotail)","Japan","Institute of Space and Astronautical Science (ISAS)/NASA/ESA","Multinational","Government","Space Science","","Elliptical","Deep Highly Eccentric",0,49551,191451,0.559,9.39,"2474.83","980","","273",1992-07-24,"","NASA/Goddard Space Flight Center","USA","Cape Canaveral","Delta 2","1992-044A",22049,-80.53311,28.45861
"497",497,"GHGSat-D","NR","GHGSat, Inc.","Canada","Commercial","Earth Science","","LEO","Sun-Synchronous",0,500,512,0.000873,97.5,"94.7","15","","",2016-06-22,"","University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory","Canada","Satish Dhawan","PSLV XL","2016-040D",41602,-113.64258,60.10867
"498",498,"G√å¬¶kt√å_rk 2","NR","Turkish Ministry of National Defense","Turkey","Military","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,669,690,0.00149,98.16,"98.35","409","","",2012-12-18,"5","T√å√èB‚Ç¨¬°TAK Space Technologies Research Institute/Turkish Aerospace Industries","Turkey","Jiuquan Satellite Launch Center","Long March 2D","2012-073A",39030,35,39
"499",499,"Globalstar FM37","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1411,1417,0.000385,52,"114.1","450","350","1500",1999-03-15,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-012D",25652,63.30091,46.00573
"500",500,"Globalstar FM4","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1407,1412,0.000321,52,"114","450","350","1500",1998-02-14,"10","Space Systems/Loral","USA","Cape Canaveral","Delta 7420","1998-008B",25163,-80.53311,28.45861
"501",501,"Globalstar FM8","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,52,"114.1","450","350","1500",1998-04-24,"10","Space Systems/Loral","USA","Cape Canaveral","Delta 7420","1998-023B",25307,-80.53311,28.45861
"502",502,"Globalstar M023","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1406,1422,0.00103,52,"114.1","450","350","1500",1999-02-09,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-004A",25621,63.30091,46.00573
"503",503,"Globalstar M026","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1416,0.000257,52,"114.1","450","350","1500",1999-07-25,"10","Space Systems/Loral","USA","Cape Canaveral","Delta 7420","1999-041A",25872,-80.53311,28.45861
"504",504,"Globalstar M027","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","450","350","1500",1999-08-17,"10","Space Systems/Loral","USA","Cape Canaveral","Delta 7420","1999-043B",25884,-80.53311,28.45861
"505",505,"Globalstar M028","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","450","350","1500",1999-07-25,"10","Space Systems/Loral","USA","Cape Canaveral","Delta 7420","1999-041B",25873,-80.53311,28.45861
"506",506,"Globalstar M029","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,900,1413,0.0341,52,"114.1","450","350","1500",1999-11-22,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-062C",25963,63.30091,46.00573
"507",507,"Globalstar M031","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1477,1478,6.37e-05,52,"114.1","450","350","1500",1999-10-18,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-058D",25946,63.30091,46.00573
"508",508,"Globalstar M039","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1411,1416,0.000321,52,"114.1","450","350","1500",1999-11-22,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-062A",25961,63.30091,46.00573
"509",509,"Globalstar M040","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1415,1416,6.42e-05,52,"114.1","450","350","1500",1999-02-09,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-004B",25622,63.30091,46.00573
"510",510,"Globalstar M056","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","450","350","1500",1999-10-18,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-058C",25945,63.30091,46.00573
"511",511,"Globalstar M059","USA","Globalstar ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,52,"114.1","450","350","1500",1999-10-18,"10","Space Systems/Loral","USA","Baikonur Cosmodrome","Soyuz U","1999-058B",25944,63.30091,46.00573
"512",512,"Globalstar M063","USA","Globalstar  ","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","450","350","1500",2000-02-08,"10","Space Systems/Loral","USA","Cape Canaveral","Delta 7420","2000-008A",26081,-80.53311,28.45861
"513",513,"Globalstar M065","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1411,1416,0.000321,52,"114.1","450","350","1500",2007-05-29,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat ","2007-020A",31571,63.30091,46.00573
"514",514,"Globalstar M066","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","450","350","1500",2007-10-20,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat","2007-048C",32265,63.30091,46.00573
"515",515,"Globalstar M067","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","450","350","1500",2007-10-20,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat","2007-048A",32263,63.30091,46.00573
"516",516,"Globalstar M068","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1411,1414,0.000193,52,"114","450","350","1500",2007-10-20,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat","2007-048D",32266,63.30091,46.00573
"517",517,"Globalstar M069","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1411,1416,0.000321,52,"114.1","450","350","1500",2007-05-29,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat ","2007-020C",31573,63.30091,46.00573
"518",518,"Globalstar M070","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","450","350","1500",2007-10-20,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat","2007-048B",32264,63.30091,46.00573
"519",519,"Globalstar M071","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","450","350","1500",2007-05-29,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat","2007-020F",31576,63.30091,46.00573
"520",520,"Globalstar M072","USA","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1416,0.000257,52,"114.1","450","350","1500",2007-05-29,"10","Space Systems/Loral/Alenia Aerospazio","USA/Italy","Baikonur Cosmodrome","Soyuz-Fregat","2007-020D",31574,63.30091,46.00573
"521",521,"Globalstar M073","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2010-10-19,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz-Fregat","2010-054F",37193,63.30091,46.00573
"522",522,"Globalstar M074","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,52,"114.1","700","","1700",2010-10-19,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz-Fregat","2010-054B",37189,63.30091,46.00573
"523",523,"Globalstar M075","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,52,"114.1","700","","1700",2010-10-19,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz-Fregat","2010-054E",37192,63.30091,46.00573
"524",524,"Globalstar M076","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","700","","1700",2010-10-19,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz-Fregat","2010-054C",37190,63.30091,46.00573
"525",525,"Globalstar M077","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2010-10-19,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz-Fregat","2010-054D",37191,63.30091,46.00573
"526",526,"Globalstar M078","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,51.99,"114.08","700","","1700",2013-02-06,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz.2.1a/Fregat","2013-005E",39076,63.30091,46.00573
"527",527,"Globalstar M079","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2010-10-19,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz-Fregat","2010-054A",37188,63.30091,46.00573
"528",528,"Globalstar M080","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-12-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a/Fregat","2011-080B",38041,63.30091,46.00573
"529",529,"Globalstar M081","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","700","","1700",2011-07-13,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a","2011-033E",37743,63.30091,46.00573
"530",530,"Globalstar M082","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-12-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a/Fregat","2011-080C",38042,63.30091,46.00573
"531",531,"Globalstar M083","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-07-13,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a","2011-033A",37739,63.30091,46.00573
"532",532,"Globalstar M084","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-12-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a/Fregat","2011-080A",38040,63.30091,46.00573
"533",533,"Globalstar M085","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,52,"114.1","700","","1700",2011-07-13,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a","2011-033D",37742,63.30091,46.00573
"534",534,"Globalstar M086","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-12-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a/Fregat","2011-080F",38045,63.30091,46.00573
"535",535,"Globalstar M088","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,"114.1","700","","1700",2011-07-13,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a","2011-033B",37740,63.30091,46.00573
"536",536,"Globalstar M089","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,51.99,"118.2","700","","1700",2011-07-13,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a","2011-033F",37744,63.30091,46.00573
"537",537,"Globalstar M090","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-12-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a/Fregat","2011-080E",38044,63.30091,46.00573
"538",538,"Globalstar M091","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1415,0.000128,52,"114.1","700","","1700",2011-07-13,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a","2011-033C",37741,63.30091,46.00573
"539",539,"Globalstar M092","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,"114.1","700","","1700",2011-12-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz 2.1a/Fregat","2011-080D",38043,63.30091,46.00573
"540",540,"Globalstar M093","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1412,1415,0.000193,51.98,"113.35","700","","1700",2013-02-06,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz.2.1a/Fregat","2013-005B",39073,63.30091,46.00573
"541",541,"Globalstar M094","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,51.99,"103.44","700","","1700",2013-02-06,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz.2.1a/Fregat","2013-005C",39074,63.30091,46.00573
"542",542,"Globalstar M095","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,51.98,"114.08","700","","1700",2013-02-06,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz.2.1a/Fregat","2013-005F",39077,63.30091,46.00573
"543",543,"Globalstar M096","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52.01,"103.48","700","","1700",2013-02-06,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz.2.1a/Fregat","2013-005D",39075,63.30091,46.00573
"544",544,"Globalstar M097","France","Globalstar","USA","Commercial","Communications","","LEO","Non-Polar Inclined",0,1370,1391,0.00135,52.01,"113.96","700","","1700",2013-02-06,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Soyuz.2.1a/Fregat","2013-005A",39072,63.30091,46.00573
"545",545,"GOES-13","USA","NOAA (National Oceanographic and Atmospheric Administration)","USA","Government","Earth Observation","Earth Science/Meterology","GEO","",-104.77,35768,35801,0.000391,0.28,"1436","3200","1533","2300",2006-05-24,"7","Boeing Satellite Systems","USA","Cape Canaveral","Delta 4","2006-018A",29155,-80.53311,28.45861
"546",546,"GOES-14","USA","NOAA (National Oceanographic and Atmospheric Administration)","USA","Government","Earth Observation","Earth Science/Meterology","GEO","",-89.5,35170,35170,0,0,"1436","3200","1533","2300",2009-06-27,"10","Boeing Satellite Systems","USA","Cape Canaveral","Delta 4","2009-033A",35491,-80.53311,28.45861
"547",547,"GOES-15","USA","NOAA (National Oceanographic and Atmospheric Administration)","USA","Government","Earth Observation","Earth Science/Meterology","GEO","",-89.43,35786,35788,2.37e-05,0.42,"1436.14","3175","2180","",2010-03-04,"10","Boeing Satellite Systems","USA","Cape Canaveral","Delta 4","2010-008A",36411,-80.53311,28.45861
"548",548,"GOES-3","USA","University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA)","USA","Civil","Communications","","GEO","",-101.44,35772,35800,0.000332,14.3,"1436.08","627","","",1978-06-16,"7","Ford Aerospace","USA","Cape Canaveral","Delta 2914","1978-062A",10953,-80.53311,28.45861
